date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:34	25627/25627	---MCZ	200	added ('OK')	text/html	etag:%2258151f24dca6d1c6eb397ad363e5f00b-ssl-df%22	https://syce2cool.netlify.app/profile	D:/documants/a-FUSION/account/syce2cool.netlify.app/profile.html	(from )
10:36:35	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1675631920-ssl-df	https://syce2cool.netlify.app/robots.txt		(from )
10:36:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2024%20Dec%202023%2016:36:34%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/documants/a-FUSION/account/www.googletagmanager.com/gtm.15445.delayed	(from https://syce2cool.netlify.app/profile)
10:36:35	55157/55157	---MCZ	200	added ('OK')	text/css	etag:%22ff5254d57b05ef0ad6069f8f4ab216fc-ssl-df%22	https://syce2cool.netlify.app/style.css	D:/documants/a-FUSION/account/syce2cool.netlify.app/style.css	(from https://syce2cool.netlify.app/profile)
10:36:36	7299/7299	---MCZ	200	added ('OK')	text/css	etag:%2294673bb5f3d4a7822ea471eb16fef1a2-ssl-df%22	https://syce2cool.netlify.app/nav1.css	D:/documants/a-FUSION/account/syce2cool.netlify.app/nav1.css	(from https://syce2cool.netlify.app/profile)
10:36:36	2663/2663	---M-Z	200	added ('OK')	text/css	etag:%22fed164a52bbbc93447e4a681f087dcfa-ssl-df%22	https://syce2cool.netlify.app/nav2.css	D:/documants/a-FUSION/account/syce2cool.netlify.app/nav2.css	(from https://syce2cool.netlify.app/profile)
10:36:36	68028/68028	---MCZ	200	added ('OK')	text/css	etag:%22109bc-IH/O3L/2oFuyFxGxc9h5/AQWzS0%22	https://unpkg.com/boxicons@2.1.4/css/boxicons.min.css	D:/documants/a-FUSION/account/unpkg.com/boxicons@2.1.4/css/boxicons.min.css	(from https://syce2cool.netlify.app/profile)
10:36:37	43048/43048	---M--	200	added ('OK')	image/png	etag:%22d4c388bbb79f5a68ef3357b2115d8d9a-ssl%22	https://syce2cool.netlify.app/sgs-logo.png	D:/documants/a-FUSION/account/syce2cool.netlify.app/sgs-logo.png	(from https://syce2cool.netlify.app/profile)
10:36:37	17795/17795	---MCZ	200	added ('OK')	text/html	etag:%22211e596ba3dbe97891bc6203b51c56fa-ssl-df%22	https://syce2cool.netlify.app/index.html	D:/documants/a-FUSION/account/syce2cool.netlify.app/index.html	(from https://syce2cool.netlify.app/profile)
10:36:38	35929/35929	---MCZ	200	added ('OK')	text/html	etag:%22ea281ec2167262c1edd76c94b77d0820-ssl-df%22	https://syce2cool.netlify.app/games.html	D:/documants/a-FUSION/account/syce2cool.netlify.app/games.html	(from https://syce2cool.netlify.app/profile)
10:36:38	18577/18577	---MCZ	200	added ('OK')	text/html	etag:%226c46304aa027a160ed90298daffd049e-ssl-df%22	https://syce2cool.netlify.app/soundboard.html	D:/documants/a-FUSION/account/syce2cool.netlify.app/soundboard.html	(from https://syce2cool.netlify.app/profile)
